Pollutant,NetCDF Species parameter,Ratio
BC,PEC,1.0000000
CH4,CH4,1.0000000
CH4,CH4_INV,0.0000000
CO,CO,1.0000000
CO2,CO2_INV,1.0000000
N2O,N2O_INV,1.0000000
NH3,NH3,1.0000000
NH3,NH3_FERT,0.0000000
NMVOC,ACET,0.013819506
NMVOC,ACROLEIN,0.0000000
NMVOC,ALD2,0.0000000
NMVOC,ALD2_PRIMARY,0.0000000
NMVOC,ALDX,0.014272971
NMVOC,BENZ,0.021260779
NMVOC,BUTADIENE13,0.0000000
NMVOC,ETH,0.034046982
NMVOC,ETHA,0.027653881
NMVOC,ETHY,0.02676182
NMVOC,ETOH,0.08706512
NMVOC,FORM,0.0000000
NMVOC,FORM_PRIMARY,0.028545941
NMVOC,IOLE,0.010779066
NMVOC,ISOP,0.0000000
NMVOC,KET,0.011306869
NMVOC,MEOH,0.130597681
NMVOC,NAPH,0.0000000
NMVOC,NVOL,0.118495391
NMVOC,OLE,0.019644663
NMVOC,PAR,0.327143919
NMVOC,PRPA,0.030032709
NMVOC,SOAALK,0.0000000
NMVOC,TERP,0.011894142
NMVOC,TOL,0.023936961
NMVOC,VOC_INV,0.0348327
NMVOC,XYLMN,0.0627416
NOx,NO,0.9000000
NOx,NO2,0.1000000
OC,POC,1.0000000
PM10,PMC,1.0000000
PM2.5,PAL,0.0035000
PM2.5,POC,0.2145833
PM2.5,PCA,0.0047917
PM2.5,PCL,0.0097917
PM2.5,PEC,0.0375000
PM2.5,PFE,0.0044792
PM2.5,PH2O,0.0000000
PM2.5,PK,0.0112500
PM2.5,PMG,0.0020542
PM2.5,PMN,0.0006875
PM2.5,PMOTHR,0.3289271
PM2.5,PNA,0.0031250
PM2.5,PNCOM,0.1287500
PM2.5,PNH4,0.0566667
PM2.5,PNO3,0.0570833
PM2.5,PSI,0.0043750
PM2.5,PSO4,0.1308333
PM2.5,PTI,0.0016021
SO2,SO2,1.0000000
