Pollutant,NetCDF Species parameter,Ratio
bc,PEC,1
ch4,CH4,1
ch4,CH4_INV,0
co,CO,1
co2-excl-short-cycle,CO2_INV,1
co2-organic-cycle,CO2_INV,0
n2o,N2O_INV,1
nh3,NH3,1
nh3,NH3_FERT,0
nox,NO,0.9
nox,NO2,0.1
oc,POC,1
so2,SO2,1
ketones,ACET,0.55
ketones,KET,0.45
other-alkenes-and-alkynes,OLE,0.5
other-alkenes-and-alkynes,IOLE,0.5
other-aldehydes,ALDX,1
formaldehyde,FORM_PRIMARY,1
ethane,ETHA,1
propane,PRPA,1
butanes,PAR,1
pentanes,PAR,1
hexanes,PAR,1
alcohols,MEOH,0.6
alcohols,ETOH,0.4
ethene,ETH,1
acetylene,ETHY,1
propene,OLE,0.67
propene,PAR,0.33
isoprene,ISOP,1
monoterpenes,TERP,1
benzene,BENZ,1
toluene,TOL,1
xylene,XYLMN,1
other-aromatics,XYLMN,0.8
other-aromatics,TOL,0.2
esters,PAR,0.67
esters,UNR,0.33
ethers,PAR,1
other-vocs,PAR,0.5
other-vocs,NVOL,0.5
acids,AACD,0.5
acids,FACD,0.5
trimethylbenzene,XYLMN,1

