Pollutant,NetCDF Species parameter,Ratio
isoprene,ISOP,1
pinene-a,TERP,1
pinene-b,TERP,1
other-monoterpenes,TERP,1
sesquiterpenes,SESQ,1
MBO,MBO,1
ethene,ETH,1
propene,OLE,0.67
propene,PAR,0.33
butenes-and-higher-alkenes,OLE,0.2500000
butenes-and-higher-alkenes,IOLE,0.2500000
butenes-and-higher-alkenes,PAR,0.5000000
ethane,ETHA,1
propane,PRPA,1
butanes-and-higher-alkanes,PAR,1.0000000
acetone,ACET,1
other-ketones,KET,1
formaldehyde,FORM_PRIMARY,1
acetaldehyde,ALD2_PRIMARY,1
other-aldehydes,ALDX,1
acetic-acid,AACD,1
formic-acid,FACD,1
ethanol,ETOH,1
methanol,MEOH,1
hydrogen-cyanide,NVOL,1
methyl-iodide,NVOL,1
methyl-chloride,NVOL,1
methyl-bromide,NVOL,1
CO,CO,1
toluene,TOL,1
CH4,CH4,1.0000000
CH4,CH4_INV,0.0000000
