Pollutant,NetCDF Species parameter,Ratio
BC,PEC,1
OC,POC,1
CH4,CH4,1
CO,CO,1
CO2,CO2_INV,1
NH3,NH3,1
SO2,SO2,1
_N2O,N2O_INV,1
_NOx,NO,0.9
_NOx,NO2,0.1
C2H6,ETHA,1
C3H8,PRPA,1
Higher_Alkanes,PAR,1
C2H4,ETH,1
C2H2,ETHY,1
_C3H6,OLE,0.67
_C3H6,PAR,0.33
Higher_Alkenes,OLE,0.25
Higher_Alkenes,IOLE,0.25
Higher_Alkenes,PAR,0.5
C5H8,ISOP,1
C10H16,TERP,1
CH2O,FORM_PRIMARY,1
C2H4O,ALD2_PRIMARY,1
_other-aldehydes,ALDX,1
CH3OH,MEOH,1
C2H5OH,ETOH,1
C3H6O,ACET,1
_other-ketones,KET,1
_HCOOH,FACD,1
C6H6,BENZ,1
C7H8,TOL,1
C8H10,XYLMN,1
C2H6S,DMS,1
NMHC,VOC_INV,1
,,
