Pollutant,NetCDF Species parameter,Ratio
acet,ACET,1.0000000
ald2,ALD2,1.0000000
alk4,PAR,5.0000000
bc,PEC,1.0000000
c2h6,ETHA,1.0000000
c3h6,PAR,1.0000000
c3h8,PRPA,1.0000000
ch2o,FORM,1.0000000
ch4,ECH4,1.0000000
co,CO,1.0000000
co2,CO2_INV,1.0000000
mek,PAR,3.0000000
mek,KET,1.0000000
nh3,NH3,1
no,NO2,0.736
oc,POC,1
so2,SO2,1
pm25,PAL,0.0006071
pm25,PCA,0.003858
pm25,PCL,0.0413905
pm25,PFE,0.000434
pm25,PH2O,0
pm25,PK,0.0293975
pm25,PMG,0.000314
pm25,PMN,0.000016
pm25,PMOTHR,0.3289271
pm25,PNA,0.0057335
pm25,PNCOM,0.12875
pm25,PNH4,0.0087915
pm25,PNO3,0.0013230
pm25,PSI,0.0018185
pm25,PSO4,0.0126015
pm25,PTI,0.0000515
